Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6346954153,2.09834981492,0.0,0.0,1.85583932782,5.577,12.3467225404,7.60700101949,3.0011,1.73862152094
 01/01  02:00:00,9.68292090408,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.70960186113,0.0,0.0,0.0,0.618613109274,5.0,3.59317834676,0.0,3.0011,0.592078346759
 01/01  04:00:00,9.71442483031,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.86453911558,0.0,0.0,0.0,0.618613109274,5.0,3.5931842378,0.0,3.0011,0.592084237798
 01/01  06:00:00,13.7669908426,2.09834981492,0.0,0.0,1.85583932782,5.577,17.565175397,13.043525397,4.50165,0.02
 01/01  07:00:00,28.2280792003,2.09834981492,0.0,0.0,3.71167865564,18.077,23.4379146838,8.76794538291,13.50495,1.16501930086
 01/01  08:00:00,25.6625027849,2.09834981492,0.0,0.0,3.71167865564,18.077,28.7690583503,6.02352691976,21.0077,1.7378314305
 01/01  09:00:00,20.6891084414,2.09834981492,0.0,0.0,3.71167865564,13.077,20.6216840211,4.45096947186,15.0055,1.16521454928
 01/01  10:00:00,20.7225549132,2.09834981492,0.0,0.0,3.71167865564,13.077,18.6791858072,2.50840661977,15.0055,1.16527918745
 01/01  11:00:00,25.738144977,2.09834981492,0.0,0.0,3.71167865564,18.077,37.3679782779,0.892737972497,33.0121,3.46314030545
 01/01  12:00:00,26.8564271129,2.09834981492,0.0,0.0,3.71167865564,18.077,44.5514576604,0.0,40.51485,4.0366076604
 01/01  13:00:00,26.0246665608,2.09834981492,0.0,0.0,3.71167865564,18.077,38.9004635009,0.0,36.0132,2.88726350094
 01/01  14:00:00,25.8185233897,2.09834981492,0.0,0.0,3.71167865564,18.077,34.3985996697,0.0,31.51155,2.88704966973
 01/01  15:00:00,20.8346646667,2.09834981492,0.0,0.0,3.71167865564,13.077,23.3426020256,0.0227669584855,21.0077,2.31213506709
 01/01  16:00:00,20.831146668,2.09834981492,0.0,0.0,3.71167865564,13.077,21.8195848411,0.0,19.50715,2.31243484107
 01/01  17:00:00,21.3609975195,2.09834981492,0.0,0.0,3.71167865564,13.077,24.8206699544,0.0,22.50825,2.31241995439
 01/01  18:00:00,28.2437546462,2.09834981492,0.0,0.0,3.71167865564,18.077,28.3966278732,0.0,25.50935,2.88727787322
 01/01  19:00:00,28.2420460057,2.09834981492,0.0,0.0,3.71167865564,18.077,29.5454010928,0.0,25.50935,4.03605109279
 01/01  20:00:00,28.396303144,2.09834981492,0.0,0.0,3.71167865564,18.077,28.9720254668,0.0,25.50935,3.46267546681
 01/01  21:00:00,23.3706276575,2.09834981492,0.0,0.0,3.71167865564,13.077,25.3953106386,0.0,22.50825,2.88706063855
 01/01  22:00:00,23.2688542213,2.09834981492,0.0,0.0,3.71167865564,13.077,25.1490042926,0.678768763654,21.0077,3.4625355289
 01/01  23:00:00,23.1436392554,2.09834981492,0.0,0.0,3.71167865564,13.077,23.7852808581,2.31801700251,18.0066,3.4606638556
 01/01  24:00:00,24.2767465994,2.09834981492,0.0,0.0,3.71167865564,13.077,8.1949315074,4.02850700753,3.0011,1.16532449987
