Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.3732808831,3.72240102456,0.0,0.0,4.58992532963,8.1892,37.3547442962,28.2453871505,3.33988,5.76947714566
 01/01  02:00:00,14.8449011465,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.866502217,0.0,0.0,0.0,1.52997510988,7.4902,3.93193187299,0.0,3.33988,0.592051872985
 01/01  04:00:00,14.8716803409,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.0225500653,0.0,0.0,0.0,1.52997510988,7.4902,3.93193780731,0.0,3.33988,0.592057807311
 01/01  06:00:00,22.494946668,3.72240102456,0.0,0.0,4.58992532963,8.1892,45.7484029654,37.3787029654,8.3497,0.02
 01/01  07:00:00,38.4530846416,3.72240102456,0.0205871119689,0.0,9.17985065927,19.4245,55.4823576904,35.3209680269,16.6994,3.46198966357
 01/01  08:00:00,41.6831117523,3.72240102456,0.0146472763425,0.0,9.17985065927,26.9147,51.8477633873,22.7623296737,25.0491,4.03633371364
 01/01  09:00:00,41.7061558691,3.72240102456,0.0,0.0,9.17985065927,26.9147,51.4665703059,14.6048385978,33.3988,3.46293170803
 01/01  10:00:00,34.2375760698,3.72240102456,0.0,0.0,9.17985065927,19.4245,44.9287676737,16.4165705024,25.0491,3.4630971713
 01/01  11:00:00,41.744084118,3.72240102456,0.00538993398539,0.0,9.17985065927,26.9147,64.9714056804,11.6409159027,41.7485,11.5819897777
 01/01  12:00:00,42.4633998975,3.72240102456,0.0,0.0,9.17985065927,26.9147,59.8342738857,6.50589495815,41.7485,11.5798789275
 01/01  13:00:00,41.8202397361,3.72240102456,0.00577462389632,0.0,9.17985065927,26.9147,50.9980010716,0.0,41.7485,9.24950107157
 01/01  14:00:00,34.2996744506,3.72240102456,0.0,0.0,9.17985065927,19.4245,42.7007548242,0.0520919331604,33.3988,9.24986289102
 01/01  15:00:00,34.3137292236,3.72240102456,0.0,0.0,9.17985065927,19.4245,32.222591527,0.24562303693,25.0491,6.92786849003
 01/01  16:00:00,34.3096203426,3.72240102456,0.0,0.0,9.17985065927,19.4245,40.9015743363,0.0,33.3988,7.50277433634
 01/01  17:00:00,42.7791150825,3.72240102456,0.00579903329217,0.0,9.17985065927,26.9147,58.8654565359,1.8406561214,50.0982,6.92660041451
 01/01  18:00:00,45.9463302245,3.72240102456,0.0,0.0,9.17985065927,26.9147,62.0293486731,2.68296439502,50.0982,9.24818427809
 01/01  19:00:00,45.9437053508,3.72240102456,0.0,0.0,9.17985065927,26.9147,62.12674455,0.44772327599,50.0982,11.580821274
 01/01  20:00:00,38.5990226279,3.72240102456,0.0,0.0,9.17985065927,19.4245,45.6779051646,0.701278720393,33.3988,11.5778264442
 01/01  21:00:00,38.5746921159,3.72240102456,0.0,0.0,9.17985065927,19.4245,43.5525494822,0.908187264723,33.3988,9.24556221752
 01/01  22:00:00,38.4771542292,3.72240102456,0.0,0.0,9.17985065927,19.4245,48.97440023,12.346371819,25.0491,11.5789284111
 01/01  23:00:00,38.352290408,3.72240102456,0.0,0.0,9.17985065927,19.4245,43.7445460232,17.7998318203,16.6994,9.24531420291
 01/01  24:00:00,39.1032208502,3.72240102456,0.0,0.0,9.17985065927,19.4245,32.7765746256,19.8134265419,8.3497,4.61344808371
 01/02  01:00:00,22.3880233544,3.72240102456,0.0,0.0,4.58992532963,8.1892,36.1468710251,28.1922689743,3.33988,4.61472205072
 01/02  02:00:00,14.8388715381,0.0,0.0,0.0,1.52997510988,7.4902,3.93193779452,0.0,3.33988,0.592057794518
