Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.5566876785,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5540105516,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.5471362205,0.0,0.0,0.0,15.863942322,29.242365,6.08814234643,0.0,3.20568,2.88246234643
 01/01  04:00:00,55.5366503642,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.7500736083,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.7285837497,0.0,0.0,0.0,15.863942322,29.242365,6.08811258381,0.0,3.20568,2.88243258381
 01/01  07:00:00,55.7304591678,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.0943806073,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.1212426025,0.0,0.0,0.0,15.863942322,29.242365,6.08942207987,0.0,3.20568,2.88374207987
 01/01  10:00:00,47.1576744118,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.1591328096,0.0,0.0,0.0,15.863942322,29.242365,6.08931621767,0.0,3.20568,2.88363621767
 01/01  12:00:00,47.8407348997,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.1657812466,0.0,0.0,0.0,15.863942322,29.242365,6.08941071849,0.0,3.20568,2.88373071849
 01/01  14:00:00,47.2158735371,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.2428767816,0.0,0.0,0.0,15.863942322,29.242365,6.08809845846,0.0,3.20568,2.88241845846
 01/01  16:00:00,47.2415852225,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,48.5594712241,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.6937075784,0.0,0.0,0.0,15.863942322,29.242365,6.08806884879,0.0,3.20568,2.88238884879
 01/01  19:00:00,55.6864771427,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.9142241108,0.0,0.0,0.0,15.863942322,29.242365,6.08803923503,0.0,3.20568,2.88235923503
 01/01  21:00:00,55.8901396225,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.7461339601,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.5716802195,0.0,0.0,0.0,15.863942322,29.242365,6.08814356784,0.0,3.20568,2.88246356784
 01/01  24:00:00,56.2511602193,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.5576320403,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.5514044823,0.0,0.0,0.0,15.863942322,29.242365,6.08931797172,0.0,3.20568,2.88363797172
 01/02  03:00:00,55.5406177586,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.5398079932,0.0,0.0,0.0,15.863942322,29.242365,6.08941367468,0.0,3.20568,2.88373367468
 01/02  05:00:00,55.7638664443,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.7482620736,0.0,0.0,0.0,15.863942322,29.242365,6.08950923949,0.0,3.20568,2.88382923949
 01/02  07:00:00,62.8319169492,6.44637968467,0.0,0.0,15.863942322,29.818365,85.9328308922,79.8434265025,3.20568,2.88372438967
