Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,179.512581528,30.6428831815,55.7361495083,0.0,34.4311606118,33.1021868926,156.621154008,44.9489523056,3.33212,108.340081702
 01/01  02:00:00,180.606181707,30.6428831815,56.8583271911,0.0,34.4311606118,33.1021868926,121.239263111,37.3364681659,3.33212,80.5706749455
 01/01  03:00:00,161.500820477,30.6428831815,55.268405193,0.0,19.466279405,30.610668775,115.235019068,31.3306835076,3.33212,80.5722155608
 01/01  04:00:00,160.395492328,30.6428831815,54.1849397155,0.0,19.466279405,30.610668775,110.633972141,26.7271718996,3.33212,80.574680241
 01/01  05:00:00,168.503412943,30.6428831815,55.7140881379,0.0,19.466279405,30.610668775,134.779109772,23.235375208,3.33212,108.211614564
 01/01  06:00:00,182.570680233,30.6428831815,57.5543957711,0.0,19.466279405,30.610668775,166.589177414,20.527790901,8.3303,137.731086513
 01/01  07:00:00,268.065723787,34.3801995452,67.8489237026,0.0,42.6918050922,54.3732441037,223.730853832,18.5825751156,16.6606,188.487678717
 01/01  08:00:00,335.84258687,35.594334264,97.8353350147,0.0,49.3960418185,88.5934452969,378.568500257,33.9348721794,24.9909,319.642728077
 01/01  09:00:00,386.820403982,35.3724445804,116.973053143,0.0,57.6566862989,112.030105488,513.188587233,26.224070377,33.3212,453.643316856
 01/01  10:00:00,331.301030422,35.8982257516,116.685391633,0.0,50.9524495726,81.1684271793,414.049741275,15.3001870333,66.8089,331.940654242
 01/01  11:00:00,288.862875415,36.0501931373,118.927261715,0.0,42.6918050922,68.9656133826,344.588883024,10.3474571883,83.4695,250.771925836
 01/01  12:00:00,286.29867629,36.0901703802,119.894401855,0.0,38.286128036,68.9656133826,292.492426955,7.48589556659,83.4695,201.537031388
 01/01  13:00:00,286.152622355,36.1292910618,120.207443531,0.0,38.286128036,68.9656133826,233.316911666,3.80638154572,83.4695,146.04103012
 01/01  14:00:00,267.55014015,36.1001314112,120.477892928,0.0,31.5818913096,56.727595265,224.226061935,3.06393879866,75.1392,146.022923136
 01/01  15:00:00,266.644274421,36.1265392061,119.423175054,0.0,31.5818913096,56.727595265,215.596886928,3.11327027594,66.8089,145.674716652
 01/01  16:00:00,267.631622056,36.1498184861,120.341590984,0.0,31.5818913096,56.727595265,219.24479998,3.85142648735,75.1392,140.254173492
 01/01  17:00:00,300.4961481,35.8524326472,121.846451759,0.0,31.5818913096,61.661095265,210.721434681,5.2652439414,91.7998,113.65639074
 01/01  18:00:00,342.238463336,35.3457652393,122.633554643,0.0,31.5818913096,70.9729253606,196.200880535,9.80453047884,49.9818,136.414550056
 01/01  19:00:00,403.359909677,35.3830581583,122.107304854,0.0,80.3315023541,83.7685254822,226.672071306,12.3453204907,49.9818,164.344950815
 01/01  20:00:00,405.840500462,35.3195692601,120.741748076,0.0,102.000620287,77.6748002752,263.339997357,14.2018338408,33.3212,215.816963517
 01/01  21:00:00,425.418152038,35.3145286361,119.855853367,0.0,108.704857014,91.4735406516,266.176449836,17.6084731372,33.3212,215.246776699
 01/01  22:00:00,396.765973304,35.3423830992,119.627174865,0.0,95.2963835608,89.1510273009,273.597555256,32.7828177906,24.9909,215.823837465
 01/01  23:00:00,342.246390221,35.3423674126,118.49006357,0.0,80.3315023541,63.3799339444,378.960139671,43.6205295057,16.6606,318.679010166
 01/01  24:00:00,245.401555836,35.3277107984,86.2480417223,0.0,42.6918050922,48.4199368926,244.408860851,53.7909580798,8.3303,182.287602771
 01/02  01:00:00,168.090680791,30.6428831815,55.7472088918,0.0,25.5240853573,30.610668775,154.470025684,44.9494983973,3.33212,106.188407287
 01/02  02:00:00,160.624088179,30.6428831815,55.6822295028,0.0,19.418418834,29.3649097162,121.195663928,37.3767190992,3.33212,80.4868248285
 01/02  03:00:00,151.498571049,30.6428831815,54.5036840772,0.0,12.7620426787,28.1191506574,115.352195943,31.530895708,3.33212,80.4891802348
 01/02  04:00:00,153.209884621,32.200098333,54.6681557544,0.0,12.7620426787,28.1191506574,110.833729378,27.008313593,3.33212,80.4932957846
 01/02  05:00:00,161.344798872,31.4214907572,56.9948907402,0.0,12.7620426787,28.1191506574,134.872060173,23.3113842445,3.33212,108.228555928
 01/02  06:00:00,200.141166473,32.9787059088,66.6235954969,0.0,25.5240853573,30.610668775,215.980224419,20.3539521193,8.3303,187.2959723
 01/02  07:00:00,331.948652416,33.9130349997,99.7246426282,0.0,51.0481707146,78.1489452969,354.460310438,18.0621506183,16.6606,319.73755982
 01/02  08:00:00,391.904600046,35.3406093619,117.871660799,0.0,64.3609230253,109.708623606,471.416291841,23.1314933618,24.9909,423.293898479
 01/02  09:00:00,333.925462381,35.3145286361,102.478559956,0.0,51.0481707146,80.7689615957,390.880634934,27.3948640231,33.3212,330.164570911
 01/02  10:00:00,301.905431591,35.8775730819,98.1035223397,0.0,51.0481707146,71.0224615957,345.897090021,28.1515015176,66.8089,250.936688504
 01/02  11:00:00,266.595526037,35.9642356616,111.283000007,0.0,32.1804615127,65.7244621605,310.131978023,26.062701118,83.4695,200.599776905
 01/02  12:00:00,251.751664667,36.0117710883,95.6857074676,0.0,32.1804615127,65.7244621605,252.940456506,23.2284771471,83.4695,146.242479359
 01/02  13:00:00,244.838203278,36.0458850996,89.3016209885,0.0,32.1804615127,65.7244621605,254.081905076,24.5630114566,83.4695,146.049393619
