Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,60.3092752091,12.838310164,12.958407072,0.00780242006842,4.12243109448,15.9888894789,56.7200336295,53.7283032117,2.97173041782,0.02
 01/02  02:00:00,78.0848790586,21.9048323579,21.4310595553,0.00978654591135,4.12243109448,15.9888894789,99.0551767081,96.0634462903,2.97173041782,0.02
 01/02  03:00:00,69.2771736113,18.2383709408,16.2896407874,0.116527348748,4.12243109448,15.9888894789,77.8923086186,74.9005782008,2.97173041782,0.02
 01/02  04:00:00,77.8183324904,22.3811690609,20.462049567,0.235913430705,4.12243109448,15.9888894789,97.9111262055,94.9193957877,2.97173041782,0.02
 01/02  05:00:00,103.664730914,26.8679881331,24.6507465855,0.102882283061,12.3672932834,24.9413748627,109.348420175,104.375536145,4.9528840297,0.02
 01/02  06:00:00,122.608303665,27.9172478844,27.0545574558,15.593384472,12.3672932834,24.9413748627,178.385197276,173.412313246,4.9528840297,0.02
 01/02  07:00:00,176.703181656,28.3639599461,27.2615487961,10.8890781089,24.7345865669,70.7195625826,143.894245394,133.968477334,9.90576805939,0.02
 01/02  08:00:00,192.79348618,28.6939816267,27.1788127558,6.7848353485,37.1018798503,92.3937384068,124.552102068,114.626334009,9.90576805939,0.02
 01/02  09:00:00,204.04089491,28.7959602885,27.7012180671,5.36461809791,37.1018798503,104.434947198,118.581043985,108.655275926,9.90576805939,0.02
 01/02  10:00:00,215.919095379,28.8635339749,28.5138778615,4.32093253796,37.1018798503,116.476155989,123.790787823,105.261003602,9.90576805939,8.62401616163
 01/02  11:00:00,216.86043938,28.9303475616,30.3150162441,3.39380484401,37.1018798503,116.476155989,112.212459309,102.28669125,9.90576805939,0.02
