Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,103.909146881,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,102.220376908,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,100.249744991,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,98.1985267451,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553819604,0.0,1.75125,1.16428819604
 01/01  05:00:00,103.562144876,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,101.763028159,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,132.904507373,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,222.660764256,217.993962007,3.5025,1.16430224909
 01/01  08:00:00,133.815757845,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,218.482570462,214.960070462,3.5025,0.02
 01/01  09:00:00,170.180160624,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,181.341113924,176.67426789,3.5025,1.16434603469
 01/01  10:00:00,149.047635655,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,162.596296795,159.073796795,3.5025,0.02
 01/01  11:00:00,183.264847981,20.0892486702,0.0,0.0,27.9495200658,27.7759469175,141.188016971,133.018338184,7.005,1.16467878644
 01/01  12:00:00,212.482055751,20.0892486702,0.0,0.0,27.9495200658,27.7759469175,126.082905607,119.057905607,7.005,0.02
 01/01  13:00:00,225.836786358,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,105.183181885,94.6783433309,9.34,1.16483855375
 01/01  14:00:00,225.802161409,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,93.6401678153,83.1353801985,9.34,1.16478761685
 01/01  15:00:00,223.820461616,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,81.4300864,70.9254067208,9.34,1.16467967915
 01/01  16:00:00,221.99162306,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,75.9044965261,66.5444965261,9.34,0.02
 01/01  17:00:00,224.043195831,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,84.9904491764,74.4856084369,9.34,1.16484073951
 01/01  18:00:00,203.837374372,20.0892486702,0.0,0.0,27.9495200658,27.7759469175,107.270959676,99.101228289,7.005,1.16473138668
 01/01  19:00:00,206.539266326,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,120.113524672,115.423524672,4.67,0.02
 01/01  20:00:00,191.195287497,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,127.264742165,121.43017925,4.67,1.16456291503
 01/01  21:00:00,179.738873946,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,132.909622473,127.075147648,4.67,1.16447482531
 01/01  22:00:00,159.007773447,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,100.630056918,95.9400569176,4.67,0.02
 01/01  23:00:00,107.43848317,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,139.103131115,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549101349,0.0,1.75125,1.16424101349
 01/02  01:00:00,113.363260692,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,104.110893073,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,102.214889634,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926167417,0.0,2.335,1.16426167417
 01/02  04:00:00,101.237847356,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,107.775439252,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,106.857547186,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,150.394414065,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,187.644024297,181.809782729,4.67,1.16424156836
 01/02  08:00:00,152.03185747,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,187.095219476,182.405219476,4.67,0.02
 01/02  09:00:00,226.834486636,20.0892486702,0.0,0.0,34.9369000822,32.3179380704,166.965431286,157.628327811,8.1725,1.16460347519
 01/02  10:00:00,255.154823688,20.0892486702,0.0,0.0,62.886420148,41.4019203762,137.304289761,126.776789761,10.5075,0.02
 01/02  11:00:00,248.838214112,20.0892486702,0.0,0.0,62.886420148,41.4019203762,125.372520578,113.700171445,10.5075,1.16484913319
 01/02  12:00:00,276.326935246,20.0892486702,0.0,0.0,62.886420148,41.4019203762,112.679629969,101.00689938,10.5075,1.16523058868
 01/02  13:00:00,262.088591631,20.0892486702,0.0,0.0,62.886420148,41.4019203762,107.374899251,95.702261714,10.5075,1.16513753718
 01/02  14:00:00,261.164491889,20.0892486702,0.0,0.0,62.886420148,41.4019203762,104.976161401,92.1583110243,10.5075,2.31035037685
 01/02  15:00:00,256.265857126,20.0892486702,0.0,0.0,62.886420148,41.4019203762,100.435712349,88.7633077723,10.5075,1.16490457629
 01/02  16:00:00,252.736631124,20.0892486702,0.0,0.0,62.886420148,41.4019203762,95.4245495738,84.8970495738,10.5075,0.02
 01/02  17:00:00,256.167372217,20.0892486702,0.0,0.0,62.886420148,41.4019203762,97.497608054,85.8251579826,10.5075,1.16495007136
 01/02  18:00:00,266.096651932,20.0892486702,0.0,0.0,62.886420148,41.4019203762,101.510848174,89.8384684243,10.5075,1.16487974982
 01/02  19:00:00,262.510910229,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,107.869671598,97.3647646872,9.34,1.16490691047
 01/02  20:00:00,250.002907408,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,114.977814932,104.473057969,9.34,1.16475696316
 01/02  21:00:00,224.875296312,20.0892486702,0.0,0.0,34.9369000822,32.3179380704,119.025820002,109.688676076,8.1725,1.1646439265
 01/02  22:00:00,162.394856998,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,83.0732001975,78.3832001975,4.67,0.02
 01/02  23:00:00,113.855442143,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,145.364393764,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49933101278,0.0,2.335,1.16433101278
 01/03  01:00:00,119.935260569,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,111.72874783,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,109.974357802,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49927654316,0.0,2.335,1.16427654316
 01/03  04:00:00,107.406852097,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,126.675103378,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,122.364742441,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926319972,0.0,2.335,1.16426319972
 01/03  07:00:00,161.628183517,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,178.46727279,173.77727279,4.67,0.02
 01/03  08:00:00,148.097221836,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,183.078637274,178.388637274,4.67,0.02
 01/03  09:00:00,214.056625146,20.0892486702,0.0,0.0,34.9369000822,32.3179380704,160.152441979,150.815380204,8.1725,1.16456177512
 01/03  10:00:00,241.868084579,20.0892486702,0.0,0.0,62.886420148,41.4019203762,123.55754285,111.885365466,10.5075,1.16467738344
 01/03  11:00:00,232.806767103,20.0892486702,0.0,0.0,62.886420148,41.4019203762,107.067459287,96.5399592873,10.5075,0.02
 01/03  12:00:00,264.012190337,20.0892486702,0.0,0.0,62.886420148,41.4019203762,91.340780281,79.6681406625,10.5075,1.16513961845
 01/03  13:00:00,247.476848371,20.0892486702,0.0,0.0,62.886420148,41.4019203762,83.7435989747,70.9256489535,10.5075,2.31045002112
 01/03  14:00:00,246.693929112,20.0892486702,0.0,0.0,62.886420148,41.4019203762,77.3458053854,65.6730473228,10.5075,1.16525806256
 01/03  15:00:00,244.113556083,20.0892486702,0.0,0.0,62.886420148,41.4019203762,72.3284862896,60.6559267696,10.5075,1.16505951998
 01/03  16:00:00,243.03145946,20.0892486702,0.0,0.0,62.886420148,41.4019203762,63.0714051582,51.3990223478,10.5075,1.1648828104
 01/03  17:00:00,247.96527982,20.0892486702,0.0,0.0,62.886420148,41.4019203762,64.5944365805,54.0669365805,10.5075,0.02
 01/03  18:00:00,258.452644327,20.0892486702,0.0,0.0,62.886420148,41.4019203762,73.8112801766,62.1387448844,10.5075,1.16503529214
 01/03  19:00:00,255.28740062,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,84.2324154772,73.7275466999,9.34,1.16486877729
 01/03  20:00:00,233.893752872,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,100.114730074,89.6099837456,9.34,1.16474632823
 01/03  21:00:00,200.29732123,20.0892486702,0.0,0.0,34.9369000822,32.3179380704,116.579108869,107.241971916,8.1725,1.16463695233
 01/03  22:00:00,139.59726307,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,89.6438787983,84.9538787983,4.67,0.02
 01/03  23:00:00,94.0183003719,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49938780496,0.0,2.335,1.16438780496
 01/03  24:00:00,127.011739702,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,97.3238134194,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  02:00:00,88.4032257877,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922679982,0.0,2.335,1.16422679982
