D,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
D0,d,d,35,35,0,0,230,0,0,0
D1,d,d,35,35,0,0,230,0,0,0
,,,,,,,,,,
S,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
S0,s,s,35,35,0,0,230,0,0,0
S1,s,s,64,37,0,0,230,0,0,0
S13,s,s,21,22,0,0,230,0,0,0
,,,,,,,,,,
M,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
C91,m,m,15,19,1,77,107,10,0,0
C28,m,m,41,37,16,183,213,10,0,0
C75,m,m,49,11,18,49,79,10,0,0
C78,m,m,61,52,3,158,188,10,0,0
C95,m,m,25,24,20,130,160,10,0,0
,,,,,,,,,,
,,,,,,,,,,
Parameters,,,,,,,,,,
parameter,description,value,,,,,,,,
t_T,optimization time horizon,230,,,,,,,,
t_S,time step size,1,,,,,,,,
,,,,,,,,,,
W,,,,,,,,,,
vehicle_type_id,vehicle_type,NW,rW,v,cc,c_F,QMAX,EMAX,rE,rC
z1,C,4,1,1,500,1,200,60.63,1,0.49
