Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,860.972579133,94.7147699866,500.20168187,0.0,34.9616554283,113.312780494,554.310864428,539.940649209,5.66466996096,8.70554525804
 01/01  02:00:00,860.973917609,94.7147699866,500.535910117,0.0,34.9616554283,113.312780494,567.252669014,544.196535473,5.66466996096,17.3914635796
 01/01  03:00:00,857.403062557,94.7147699866,497.978454461,0.0,34.9616554283,113.312780494,563.058326989,548.687863633,5.66466996096,8.70579339516
 01/01  04:00:00,854.09544069,94.7147699866,495.33552674,0.0,34.9616554283,113.312780494,577.47625891,554.41977204,5.66466996096,17.3918169091
 01/01  05:00:00,861.816467055,94.7147699866,493.20575525,0.0,44.4937663224,113.312780494,561.958459329,547.587833898,5.66466996096,8.70595547026
 01/01  06:00:00,859.952936704,94.7147699866,491.740042447,0.0,44.4937663224,113.312780494,581.63791309,550.084116189,14.1616749024,17.3921219985
 01/01  07:00:00,931.739708592,94.7147699866,491.041842408,0.0,54.0258772165,176.889270242,522.103936789,485.074475757,28.3233498048,8.70611122658
 01/01  08:00:00,923.219899436,94.7147699866,490.467024977,0.0,54.0258772165,184.38654557,535.716279747,475.838832111,42.4850247072,17.3924229286
 01/01  09:00:00,1007.6306933,94.7147699866,493.5338943,0.0,65.1572554096,220.04316451,518.456922507,444.349871738,56.6466996096,17.4603511602
 01/01  10:00:00,1007.11594262,94.7147699866,498.93032258,0.0,65.1572554096,212.545889182,487.640585519,427.619895259,42.4850247072,17.5356655528
 01/01  11:00:00,1018.34893798,94.7147699866,502.13241184,0.0,65.1572554096,220.04316451,511.17767654,413.972868912,70.808374512,26.3964331161
 01/01  12:00:00,1021.39649298,94.7147699866,503.428526132,0.0,65.1572554096,220.04316451,503.598634649,406.39166721,70.808374512,26.3985929268
 01/01  13:00:00,1012.16738381,94.7147699866,494.309587174,0.0,65.1572554096,220.04316451,496.861780573,399.653832645,70.808374512,26.3995734162
 01/01  14:00:00,989.108566681,94.7147699866,477.215788728,0.0,65.1572554096,212.545889182,469.028659662,385.983392443,56.6466996096,26.3985676099
 01/01  15:00:00,975.278250112,94.7147699866,461.663740505,0.0,65.1572554096,212.545889182,439.140980044,370.25838508,42.4850247072,26.3975702563
 01/01  16:00:00,971.536375801,94.7147699866,457.348264538,0.0,65.1572554096,212.545889182,459.649524269,376.606248663,56.6466996096,26.396575997
 01/01  17:00:00,966.721066364,94.7147699866,475.321983823,0.0,65.1572554096,220.04316451,498.902536309,387.537017851,84.9700494144,26.3954690434
 01/01  18:00:00,946.136039321,94.7147699866,491.326118406,0.0,54.0258772165,184.38654557,518.626203775,416.122861214,84.9700494144,17.5332931462
 01/01  19:00:00,914.847092736,94.7147699866,490.609967892,0.0,44.4937663224,163.454314868,558.791570593,456.430130364,84.9700494144,17.3913908145
 01/01  20:00:00,908.044577544,94.7147699866,490.500943764,0.0,44.4937663224,155.95703954,528.923206304,463.569370099,56.6466996096,8.70713659498
 01/01  21:00:00,888.222922697,94.7147699866,503.061619121,0.0,44.4937663224,124.558693486,576.324475043,502.286052065,56.6466996096,17.3917233685
 01/01  22:00:00,889.852245818,94.7147699866,506.723327304,0.0,44.4937663224,124.558693486,563.678532121,512.486207303,42.4850247072,8.70730011088
 01/01  23:00:00,875.714994259,94.7147699866,503.336837417,0.0,34.9616554283,124.558693486,576.503899701,530.78853022,28.3233498048,17.3920196765
 01/01  24:00:00,873.9618264,94.7147699866,501.285350184,0.0,34.9616554283,124.558693486,559.224992673,536.358495562,14.1616749024,8.70482220771
 01/02  01:00:00,871.120390506,94.7147699866,499.714516999,0.0,46.0930336215,113.312780494,558.73651299,535.679447438,5.66466996096,17.3923955911
 01/02  02:00:00,871.261633855,94.7147699866,499.890455331,0.0,46.0930336215,113.312780494,554.386118199,540.01643008,5.66466996096,8.70501815789
 01/02  03:00:00,868.615648495,94.7147699866,498.311895362,0.0,46.0930336215,113.312780494,567.308378876,544.250928984,5.66466996096,17.3927799316
 01/02  04:00:00,868.666867513,94.7147699866,497.635993184,0.0,46.0930336215,113.312780494,561.454379443,547.084533942,5.66466996096,8.70517553996
 01/02  05:00:00,961.23443009,94.7147699866,499.406684676,0.0,100.150657288,148.969399434,534.681312449,511.624571099,5.66466996096,17.3920713883
 01/02  06:00:00,962.471313929,94.7147699866,499.2520782,0.0,100.150657288,149.894399434,1057.17641837,1034.30941474,14.1616749024,8.70532872197
