Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,40.9143827044,5.69525544717,4.65312682508,0.0,12.925468867,10.100111941,8.53918833525,8.51918833525,0.0,0.02
 01/01  02:00:00,40.1493887879,5.61063003574,3.97385553072,0.0,12.925468867,10.100111941,14.4969983455,8.74123398949,0.0,5.755764356
 01/01  03:00:00,34.589275011,5.50199172208,3.14142397021,0.0,8.34152022915,10.0650221343,9.42306858565,9.40306858565,0.0,0.02
 01/01  04:00:00,34.1659213467,5.45771774693,2.76233605575,0.0,8.34152022915,10.0650221343,16.2043428807,10.4489413608,0.0,5.75540151989
 01/01  05:00:00,35.5416931851,5.43071859384,2.55850992288,0.0,8.34152022915,11.6705166398,11.0550377444,11.0350377444,0.0,0.02
 01/01  06:00:00,39.5217869532,5.40855733391,2.40246898461,0.0,8.80141237637,15.3678112995,16.8154213359,11.0494059091,0.0,5.76601542676
 01/01  07:00:00,60.28057071,5.49827142487,3.09495973114,0.0,18.5082010057,25.6353820695,17.0203004833,11.2442490818,0.0,5.7760514015
 01/01  08:00:00,71.5753671022,5.77987939634,5.18943217103,0.0,19.4926561212,41.1001056674,21.3275779247,9.74474068473,0.0,11.58283724
 01/01  09:00:00,99.8444574718,6.31651685635,9.16455144772,0.0,26.3286599382,57.9988325916,34.5091713087,3.41780794276,0.0,31.0913633659
 01/01  10:00:00,83.6062766736,6.15654258223,8.35969822972,0.0,26.2443270014,42.8153538416,46.8609122915,1.16342088825,18.025,27.6724914033
 01/01  11:00:00,57.4857402536,5.87207817019,6.39820160121,0.0,21.7447113004,23.4437158914,43.1138546078,1.69487567779,18.025,23.39397893
 01/01  12:00:00,55.2285671368,5.8993401906,6.5157793,0.0,19.3449162599,23.4437158914,36.7782756109,1.23425561686,18.025,17.5190199941
 01/01  13:00:00,55.9084351288,5.95407251569,6.99872290253,0.0,19.190480192,23.7425572507,36.7743310502,1.2663959578,18.025,17.4829350924
 01/01  14:00:00,56.6625445215,6.05680203565,7.62398457146,0.0,19.260583323,23.698576057,41.3313031097,0.0,18.025,23.3063031097
 01/01  15:00:00,58.0335064941,6.13223098097,8.91951565788,0.0,19.260583323,23.698576057,35.5116221891,0.0,18.025,17.4866221891
 01/01  16:00:00,57.7407715665,6.07343669854,8.97552300507,0.0,19.260583323,23.4086260847,35.5097561168,0.0,18.025,17.4847561168
 01/01  17:00:00,62.3077308395,5.98055350291,7.30005538489,0.0,19.260583323,27.8781056672,23.951851918,0.166048776149,18.025,5.76080314185
 01/01  18:00:00,77.2317349282,6.07029060552,7.85985890881,0.0,18.1807569449,37.5792895564,6.37724497358,0.611315254023,0.0,5.76592971956
 01/01  19:00:00,92.680416581,6.3111284225,9.17413564251,0.0,32.6059821062,37.0465235296,7.63318894916,1.86258871536,0.0,5.7706002338
 01/01  20:00:00,94.1128634421,6.46607403369,10.2205711468,0.0,36.8143715336,33.066984531,8.37157939041,2.59047767973,0.0,5.78110171068
 01/01  21:00:00,100.884143809,6.65710091319,11.4413228915,0.0,36.43363367,38.8072253906,9.93214240145,4.15187677295,0.0,5.78026562849
 01/01  22:00:00,98.1801518056,6.63038704645,11.120750005,0.0,36.0963922311,36.7877557581,17.1970217241,5.65477446501,0.0,11.5422472591
 01/01  23:00:00,73.6907518545,6.22141396385,8.36048821241,0.0,30.9507766546,20.6087787026,18.1229446472,6.54042248085,0.0,11.5825221664
 01/01  24:00:00,48.1812569033,5.82728573835,5.67952362233,0.0,17.4250845679,11.7056064465,13.6384290391,7.86244858883,0.0,5.77598045022
 01/02  01:00:00,39.4963679293,5.68282985652,4.56684730492,0.0,11.6412384099,10.0650221343,8.51771102949,8.49771102949,0.0,0.02
 01/02  02:00:00,36.9372464998,5.57007554252,3.68116777553,0.0,10.0992000411,10.047477231,14.9706020795,9.21470611977,0.0,5.75589595975
 01/02  03:00:00,34.3398039073,5.48912958495,3.02423016333,0.0,8.25718729233,10.0299323277,10.290612876,10.270612876,0.0,0.02
 01/02  04:00:00,34.094141918,5.46228644183,2.80541128351,0.0,8.25718729233,10.0299323277,15.9518958069,10.1959548839,0.0,5.75594092298
 01/02  05:00:00,35.5638720465,5.44443750347,2.68638501769,0.0,8.25718729233,11.6354268332,15.74857742,9.98780066633,0.0,5.76077675363
 01/02  06:00:00,43.3125960439,5.46261824388,2.83727895113,0.0,12.1011305571,15.3678112995,15.1792331407,9.40320278856,0.0,5.77603035211
 01/02  07:00:00,76.1961259386,5.87844925397,5.7767208483,0.0,19.7275818095,37.2640762949,20.759649633,9.1773323388,0.0,11.5823172942
 01/02  08:00:00,90.488239811,6.27023028163,8.6089500828,0.0,24.3117294858,51.2795993405,19.6637996275,8.03984597277,0.0,11.6239536547
 01/02  09:00:00,75.8366205279,5.78773028744,5.71486300157,0.0,23.6694662846,40.6342015617,32.7584330064,3.44101725096,0.0,29.3174157554
 01/02  10:00:00,70.6610164985,5.74469379366,5.58960264936,0.0,23.6694662846,35.6302164847,43.644311592,2.23172703373,18.025,23.3875845582
 01/02  11:00:00,51.4043350329,5.54086227647,4.13343930681,0.0,18.7433767983,22.9618409725,38.3110915421,2.76519759245,18.025,17.5208939497
 01/02  12:00:00,51.4406405825,5.54610533352,4.16671543734,0.0,18.7433767983,22.9618409725,38.0645631415,2.55199859081,18.025,17.4875645507
 01/02  13:00:00,51.6837466622,5.55722111188,4.35525847033,0.0,18.5889407304,23.1597249699,45.0165346487,3.68646231327,18.025,23.3050723355
 01/02  14:00:00,51.7808501585,5.5515952739,4.21148670742,0.0,18.7433767983,23.2517909448,36.8210695761,1.31033090646,18.025,17.4857386696
 01/02  15:00:00,51.8753353883,5.56048444798,4.2970800931,0.0,18.7433767983,23.2517909448,36.7082637723,1.19806795945,18.025,17.4851958129
 01/02  16:00:00,51.4988052368,5.55109933961,4.21988440883,0.0,18.7433767983,22.9618409725,37.9508554571,2.44120164361,18.025,17.4846538135
 01/02  17:00:00,58.0232125787,5.56778268972,4.39230151047,0.0,18.7433767983,27.431320555,26.2779588799,2.49341428436,18.025,5.75954459551
 01/02  18:00:00,77.7998881882,5.82133548991,6.075205494,0.0,17.6635504202,40.6971502883,8.28152416342,2.51065664736,0.0,5.77086751606
 01/02  19:00:00,85.5618094979,6.00673487503,7.14697636825,0.0,27.5259009287,37.3340067412,16.2844443044,4.71207807344,0.0,11.572366231
 01/02  20:00:00,89.2095896894,6.16834259115,8.30780516396,0.0,33.8341110165,33.3544677425,11.1071805057,5.32626243326,0.0,5.78091807244
 01/02  21:00:00,99.3179226802,6.43026340005,10.0000566987,0.0,36.5179666069,38.8247702939,12.2954465639,6.51459239892,0.0,5.78085416496
 01/02  22:00:00,94.2486608961,6.4978934744,10.3781937227,0.0,32.965339924,36.8579353714,18.3322926226,6.74952009291,0.0,11.5827725297
