D,,,,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,tA,tB,tS
D0,d,start,40.0,50.0,0.0,240.0,0.0
D1,d,end,40.0,50.0,0.0,240.0,0.0
,,,,,,,,,,,,,
S,,,,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,tA,tB,tS,cg,SMIN,SMAX,instances
S0,s,s,40.0,50.0,0.0,240.0,0.0,0,0,2.564102564102564,1
S3,s,s,57.0,82.0,0.0,240.0,0.0,0,0,2.564102564102564,1
S7,s,s,21.0,83.0,0.0,240.0,0.0,0,0,2.564102564102564,1
S11,s,s,10.0,28.0,0.0,240.0,0.0,0,0,2.564102564102564,1
S19,s,s,77.0,30.0,0.0,240.0,0.0,0,0,2.564102564102564,1
,,,,,,,,,,,,,
M,,,,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,tA,tB,tS,q,tQ,cq
C33,m,m,85.0,25.0,0.0,178.0,10.0,10.0,0,1
C84,m,m,57.0,29.0,73.0,103.0,10.0,18.0,0,1
C15,m,m,2.0,40.0,160.0,190.0,10.0,20.0,0,1
C6,m,m,18.0,75.0,0.0,196.0,10.0,20.0,0,1
C90,m,m,37.0,47.0,145.0,175.0,10.0,6.0,0,1
C62,m,m,65.0,35.0,0.0,200.0,10.0,3.0,0,1
C8,m,m,15.0,80.0,125.0,155.0,10.0,10.0,0,1
C39,m,m,60.0,80.0,100.0,130.0,10.0,10.0,0,1
C34,m,m,85.0,35.0,0.0,182.0,10.0,30.0,0,1
C65,m,m,35.0,40.0,31.0,61.0,10.0,16.0,0,1
C70,m,m,35.0,69.0,0.0,210.0,10.0,23.0,0,1
C72,m,m,63.0,65.0,106.0,136.0,10.0,8.0,0,1
C87,m,m,12.0,24.0,58.0,88.0,10.0,13.0,0,1
C100,m,m,31.0,67.0,0.0,210.0,10.0,3.0,0,1
C83,m,m,37.0,31.0,0.0,210.0,10.0,14.0,0,1
,,,,,,,,,,,,,
Parameters,,,,,,,,,,,,,
parameter,description,value
t_T,optimization time horizon,240.0
t_S,time step size,1.0
,,,,,,,,,,,,,
W,,,,,,,,,,,,,
vehicle_type_id,N,r,v,cc,co,cm,cy,eff,QMAX,EMIN,EMAX,PMAX
EV,1,1.0,1.0,1000,1,0,0.003,0.9,200.0,0,77.75,2.564102564102564
,,,,,,,,,,,,,
T,,,,,,,,,,,,,
t,G,G,G,G,G,ce,ce,ce,ce,ce
,S0,S3,S7,S11,S19,S0,S3,S7,S11,S19
0.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1
240.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1
,,,,,,,,,,,,,
